height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
73,24.3,24.3,m,r,r
67,21,21,m,l,r
76,27,28,m,r,r
61,18.6,18.5,f,r,r
68,21,21,f,l,l
68,20.6,22.4,m,r,l
70,21,21,m,r,l
62,21,21,f,r,r
70,24.5,24.7,m,r,r
64,20,21,f,l,r
67,21,21,f,r,r
60,18,19,f,r,r
64,20.5,21,f,r,l
73,22.3,21,m,r,r
73,22,22,m,r,l
65,21,20.8,f,r,l
71,23,23,m,r,l
66,20,20.5,m,r,l
64,17.2,18.1,f,r,r
63,17.5,18.2,f,r,r
67,20.7,20.8,f,r,l
64,19,18,f,r,l
60,19,18,f,r,r
67,22.7,22.7,f,r,r
65,21.5,21,m,r,l
68,21.9,22,m,r,r
70,24,24,m,r,r
61,22,22,f,r,r
72,23.5,23.5,m,l,l
68,18.5,18.7,m,r,l
68,21,21.45,f,r,l
67.32,20.5,21,f,r,l
66,19.8,18.9,m,r,r
70,23.5,23.5,m,r,r
71,20.5,20.5,m,l,l
70,20.5,21,f,r,r
65,19.5,21.2,m,r,r
65,19.5,19.6,f,l,l
67,21,19,f,r,l
71,22.9,22.7,m,r,r
74,21,21,m,r,l
68,19,19,f,r,l
62,19,19,f,r,r
75,24.5,23.5,m,r,l
66,22,21,f,r,l
62,21.5,21.5,f,r,r
64,21.5,21,f,r,r
66,21,21,f,r,l
63,22,22.6,f,r,l
63,18.4,18.7,f,r,r
64,17,16,f,r,r
61,14.5,14.5,f,r,r
59,17.5,17.3,f,r,l
73,21,21.5,m,l,r
70,21,20.5,f,r,r
61,20,19,f,r,r
71,22,22,m,r,l
60,21,21,m,r,l
67,22.3,22.5,m,r,r
65,21,20.8,m,r,r
54,18.5,18.5,f,r,l
67.5,19.5,20,f,r,r
69,18,17.5,m,r,r
62,17.5,17,f,r,l
68,19,19.6,f,r,l
69,21.5,20.5,f,r,r
70,23.75,24.5,m,r,r
68,21,22,f,r,r
71,22.2,22.4,m,r,l
65,19.1,18.5,f,r,r
68,18.8,18.5,f,r,r
63,17,18,f,r,r
66,20,20.5,m,r,l
66,19,19.5,f,r,l
70,23.5,22,f,r,r
64,20.5,19.6,f,r,r
64,15,16,f,r,l
70,21.4,21.3,m,r,r
63,19,19,f,r,r
68,19.5,20,f,r,r
69,20,20,f,r,r
70,20.4,21.1,f,r,l
58,19,19.5,f,r,r
64,17,16.5,f,r,l
72,21,21.5,m,r,r
68,24.5,25,m,r,r
68,21.5,21.6,m,l,r
74.5,23.5,23.5,m,r,r
76,24,23.6,m,r,r
63,12,13,f,r,r
72,20.5,20.3,m,r,r
72,17,18,f,r,r
64,19.8,20.4,f,r,r
65,15,15,f,r,l
62.5,20.5,21,f,r,r
77,23.5,23.7,m,l,l
71,23.5,23.8,m,r,l
66,13.5,13.3,f,r,r
76.5,25,24.5,m,r,r
60,18.5,18.5,f,r,r
66,21.5,22.3,f,r,r
69,20,22,f,r,l
67,17.1,17.5,f,r,r
66,23.5,23,m,r,r
61,21,21,m,r,r
63,20.2,20.1,f,l,l
71,20.3,20.5,m,r,l
61,15.9,15.4,f,l,l
69,14,23,m,r,l
66,18.8,19,m,r,l
71,19.9,21,m,l,l
64,18,17.2,f,r,r
72,18,19,m,r,r
63,19,20,f,r,l
73,19,19,m,r,r
61.75,20.5,19.5,f,l,l
66,18.5,18,f,r,r
65,20,20.1,m,r,l
63.25,21.5,21.5,f,l,l
69,20.1,20.5,f,r,l
65,20.5,20.3,f,r,r
68,17.6,17.8,f,l,l
61,18,18.5,f,r,l
68,18.5,19.4,f,r,l
62,19,20,f,r,r
65.75,15,19.5,f,r,r
