"","Mean_Temp","Num_Total_Crimes"
"1513",64,635
"1514",59,615
"1515",57,576
"1516",50,494
"1517",52,545
"1518",50,510
"1519",55,555
"1520",56,582
"1521",55,593
"1522",56,611
"1523",64,602
"1524",71,670
"1525",65,602
"1526",59,578
"1527",63,610
"1528",68,657
"1529",71,671
"1530",60,563
"1531",61,560
"1532",64,543
"1533",67,514
"1534",67,562
"1535",71,668
"1536",57,607
"1537",56,536
"1538",58,571
"1539",65,560
"1540",65,579
"1541",54,547
"1542",58,578
"1543",56,539
"1544",58,560
"1545",61,598
"1546",64,531
"1547",62,560
"1548",58,553
"1549",56,602
"1550",61,588
"1551",63,555
"1552",63,563
"1553",71,607
"1554",70,603
"1555",65,597
"1556",73,650
"1557",81,622
"1558",83,607
"1559",77,638
"1560",74,630
"1561",66,601
"1562",59,577
"1563",58,605
"1564",60,578
"1565",63,585
"1566",59,554
"1567",57,501
"1568",57,567
"1569",59,628
"1570",62,611
"1571",59,582
"1572",63,549
"1573",70,596
"1574",67,609
"1575",67,584
"1576",61,570
"1577",61,582
"1578",65,653
"1579",74,581
"1580",74,650
"1581",68,671
"1582",68,640
"1583",68,559
"1584",68,689
"1585",71,627
"1586",68,631
"1587",64,609
"1588",64,642
"1589",69,654
"1590",67,610
"1591",67,630
"1592",66,587
"1593",65,574
"1594",67,619
"1595",68,601
"1596",70,605
"1597",70,617
"1598",64,626
"1599",68,561
"1600",67,596
"1601",70,591
"1602",70,595
"1603",71,661
"1604",75,577
"1605",66,596
"1606",68,623
"1607",73,623
"1608",74,647
"1609",72,619
"1610",74,587
"1611",78,630
"1612",80,576
"1613",70,611
"1614",68,546
"1615",68,640
"1616",68,665
"1617",67,639
"1618",76,594
"1619",70,641
"1620",66,579
"1621",67,599
"1622",65,630
"1623",64,639
"1624",70,590
"1625",75,593
"1626",81,641
"1627",80,656
"1628",74,631
"1629",74,627
"1630",73,637
"1631",71,576
"1632",80,575
"1633",82,640
"1634",82,656
"1635",70,565
"1636",64,663
"1637",70,640
"1638",76,603
"1639",78,640
"1640",79,719
"1641",72,658
"1642",71,607
"1643",73,641
"1644",66,591
"1645",64,600
"1646",59,569
"1647",62,649
"1648",60,589
"1649",62,545
"1650",61,556
"1651",62,582
"1652",68,574
"1653",67,599
"1654",68,592
"1655",69,637
"1656",63,559
"1657",65,686
"1658",67,609
"1659",65,631
"1660",67,617
"1661",68,673
"1662",60,630
"1663",63,568
"1664",59,630
"1665",61,617
"1666",63,630
"1667",57,580
"1668",57,628
"1669",61,639
"1670",67,652
"1671",72,650
"1672",67,676
"1673",63,604
"1674",62,623
"1675",58,649
"1676",58,612
"1677",56,576
"1678",54,534
"1679",58,595
"1680",59,560
"1681",59,601
"1682",59,620
"1683",64,598
"1684",57,551
"1685",53,552
"1686",54,573
"1687",53,529
"1688",56,527
"1689",60,563
"1690",59,582
"1691",56,541
"1692",56,521
"1693",54,549
"1694",53,552
"1695",58,565
"1696",58,622
"1697",57,572
"1698",58,565
"1699",56,555
"1700",56,552
"1701",59,547
"1702",56,551
"1703",59,604
"1704",56,642
"1705",51,577
"1706",54,602
"1707",56,599
"1708",59,588
"1709",56,625
"1710",57,645
"1711",56,607
"1712",57,602
"1713",58,564
"1714",57,607
"1715",59,580
"1716",57,569
"1717",57,583
"1718",57,563
"1719",53,506
"1720",55,534
"1721",53,563
"1722",47,567
"1723",47,585
"1724",46,586
"1725",50,540
"1726",52,521
"1727",51,561
"1728",49,554
"1729",48,550
"1730",51,437
"1731",49,526
"1732",50,563
"1733",47,507
"1734",48,571
"1735",48,538
"1736",47,493
"1737",43,575
"1738",46,577
"1739",47,553
"1740",41,520
"1741",37,517
"1742",37,465
"1743",34,549
"1744",32,495
"1745",33,540
"1746",38,550
"1747",44,499
"1748",43,516
"1749",38,557
"1750",31,517
"1751",29,458
"1752",32,535
"1753",31,429
"1754",33,478
"1755",39,503
"1756",44,602
"1757",34,557
"1758",38,479
"1759",39,577
"1760",34,469
"1761",38,403
"1762",34,459
"1763",42,545
"1764",39,504
"1765",38,479
"1766",38,526
"1767",35,523
